ArRId,ArRName
22024,Quatre Septembre
22033,Bourse
463157,Censier - Daubenton
463141,Cardinal Lemoine
21984,Cardinal Lemoine
24683,Buttes Chaumont
462993,Saint-Germain-des-Prés
22181,Daumesnil
463005,Bir-Hakeim
463117,Alexandre Dumas
463206,Le Peletier
22005,Ourcq
22110,Rome
22125,Blanche
22107,Stalingrad
22073,Nation
22083,Gare de Lyon
22084,George V
22056,Falguière
22058,Convention
22059,Abbesses
22054,Jules Joffrin
22041,Porte de la Chapelle
22010,Bastille
22026,Temple
24681,Louis Blanc
22091,Hôtel de Ville
22092,Châtelet
22221,Porte de Vanves
22223,Plaisance
22226,Varenne
22203,Ledru-Rollin
22205,Montgallet
22199,République
22194,Madeleine
22175,Corvisart
22187,Lourmel
22188,Boucicaut
22189,Félix Faure
22180,Boissière
22139,Saint-Sulpice
22390,Cadet
22379,Pont Neuf
22373,Porte de Choisy
22386,Jussieu
22383,Les Gobelins
22384,Louis Blanc
474397,Miromesnil
463078,Jussieu
463085,Plaisance
463080,Hôtel de Ville
463071,Saint-Fargeau
463012,Porte de Vincennes
463029,Porte d'Ivry
463030,Porte de Choisy
463007,Porte de la Villette
463008,Stalingrad
463004,Nationale
463319,Télégraphe
463186,Glacière
21991,Pyrénées
21990,Hôtel de Ville
463189,Havre-Caumartin
463192,Jourdain
463190,Iéna
21964,Saint-Lazare
463163,Félix Faure
463133,Bonne Nouvelle
463148,Château Rouge
463120,Anvers
463132,Bolivar
463102,Kléber
21934,Charonne
21933,Bonne Nouvelle
21915,Ranelagh
21913,Porte de Montreuil
463299,Saint-Ambroise
463277,Porte de Charenton
463283,Pyramides
463296,Rome
463259,Porte de Saint-Cloud
463234,Porte d'Auteuil
463235,Porte d'Italie
463242,Mouton-Duvernet
463243,Ménilmontant
463244,Opéra
463246,Opéra
463215,Maraîchers
463226,Michel Bizot
463208,Les Halles
462962,République
462963,République
462960,République
462945,Rambuteau
462946,République
462942,Nation
462957,Miromesnil
462972,Saint-Lazare
463045,Olympiades
21954,Olympiades
463064,Madeleine
21961,Madeleine
21956,Cour Saint-Emilion
21949,Porte des Lilas
463231,Pont Marie (Cité des Arts)
463309,Saint-Sébastien - Froissart
463048,Filles du Calvaire
22081,Louvre - Rivoli
22128,Belleville
22108,Ternes
22119,La Chapelle
463325,Voltaire
463264,Strasbourg - Saint-Denis
21908,Rue de la Pompe
463036,Richelieu - Drouot
463293,Reuilly - Diderot
22098,Reuilly - Diderot
22020,Père Lachaise
463249,Palais Royal - Musée du Louvre
22038,Montparnasse Bienvenue
462996,Montparnasse Bienvenue
21923,Michel-Ange - Molitor
21907,Michel-Ange - Auteuil
463237,Maubert - Mutualité
462973,Marcadet - Poissonniers
22052,Marcadet - Poissonniers
463202,La Motte-Picquet - Grenelle
22183,La Motte-Picquet - Grenelle
463191,Jacques Bonsergent
463022,Gare de l'Est
463021,Gare de l'Est
463001,Gare de l'Est
22013,Gare de l'Est
463172,Faidherbe - Chaligny
463177,École Militaire
463145,Chaussée d'Antin - La Fayette
22388,Chaussée d'Antin - La Fayette
22140,Porte d'Orléans
463198,Invalides
21976,Sèvres - Babylone
412355,Funiculaire Gare haute
463196,Funiculaire Gare haute
463090,Bourse
463316,Temple
463250,Parmentier
22025,Rue Saint-Maur
462964,Volontaires
22201,Saint-Sébastien - Froissart
463097,Saint-Marcel
463218,Louvre - Rivoli
21958,Gare de Lyon
463072,Réaumur - Sébastopol
22004,Quai de la Rapée
463019,Bastille
22159,Strasbourg - Saint-Denis
21921,Richelieu - Drouot
22076,Reuilly - Diderot
22018,Réaumur - Sébastopol
463106,Place Monge
22366,Place Monge
463285,Père Lachaise
463227,Palais Royal - Musée du Louvre
22050,Notre-Dame-de-Lorette
462980,Montparnasse Bienvenue
463239,Michel-Ange - Molitor
21975,Maubert - Mutualité
462974,Marcadet - Poissonniers
22162,La Motte-Picquet - Grenelle
22387,Gare de l'Est
22172,Edgar Quinet
22191,École Militaire
22389,Corentin Cariou
463175,Funiculaire Gare basse
462915,Saint-Philippe-du-Roule
490848,Maison Blanche
22138,Saint-Placide
463321,Vaugirard
462994,Mabillon
22200,Filles du Calvaire
21909,Grands Boulevards
22197,Grands Boulevards
463058,Grands Boulevards
463115,Bonne Nouvelle
22198,Bonne Nouvelle
462979,Château d'Eau
463313,Strasbourg - Saint-Denis
21967,Gare d'Austerlitz
21981,Gare d'Austerlitz
463110,Belleville
21916,Voltaire
22089,Bastille
22047,Vaugirard
463317,Trinité - d'Estienne d'Orves
22046,Trinité - d'Estienne d'Orves
463055,Rue de la Pompe
463256,Porte Dauphine
22111,Porte Dauphine
22112,Père Lachaise
463062,Notre-Dame-de-Lorette
462955,Montparnasse Bienvenue
462954,Montparnasse Bienvenue
22157,Montparnasse Bienvenue
22143,Montparnasse Bienvenue
22132,Marcadet - Poissonniers
463194,La Motte-Picquet - Grenelle
21969,La Motte-Picquet - Grenelle
21972,Javel - André Citroën
22011,Jacques Bonsergent
462952,Guy Môquet
463187,Goncourt
22148,Gare de l'Est
463181,Franklin D. Roosevelt
463152,Corentin Cariou
463092,Porte d'Orléans
22094,Charles de Gaulle - Etoile
22086,Charles de Gaulle - Etoile
463265,Sully - Morland
22093,Champs-Élysées - Clemenceau
463112,Bibliothèque François Mitterrand
463108,Arts et Métiers
21994,Arts et Métiers
22122,Alexandre Dumas
22382,Le Peletier
22006,Place d'Italie
22118,Jaurès
22114,Pigalle
22077,Porte de Vincennes
22074,Saint-Paul (Le Marais)
22075,Tuileries
22087,Châtelet
