Nom du lieu,Discipline,Offre,Avantage,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
Le Crédac,Centre d'art,Tarif réduit à la Crédacantine (Visite de l'exposition et déjeuner),Avantage tarifaire,Tarif réduit,1 Place Pierre Gosnat,Ivry-sur-Seine,48.80934467604506,2.391028228670551,#FF0000
Cinéma Apollo,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,62 Avenue de la République,Pontault-Combault,48.803459370942065,2.6112914772402656,#FF0000
Château Musée De Nemours,Patrimoine | Jardin | Musée,Tarif 3€ visite libre et 5€ visite guidée et même offre pour accompagnant détenteur,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",1 Rue Gautier 1er,Nemours,48.2655349951679,2.6971006698387825,#FF0000
Château de Vincennes - Centre des Monuments Nationaux (CMN),Patrimoine | Jardin,Tarif spécial sur billet simple,Avantage tarifaire,Tarif réduit,Avenue de Paris,Vincennes,48.84257060649695,2.435488134268473,#FF0000
Le Forum de Vauréal,Musique,Tarif réduit pour les détenteurs du passe Navigo de 2€ soustraits au prix de la prévente pour chaque concert,Avantage tarifaire,Tarif réduit,95 Boulevard de l'Oise,Vauréal,49.03108149612531,2.021977839033422,#FF0000
Centre Culturel Picasso,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Avantage tarifaire,Inconnu,Rue Guy de Maupassan,Montigny-lès-Cormeilles,48.996179046129456,2.199623879176709,#FF0000
Théâtre des Bouffes du Nord,Théâtre | Musique | Danse,Tarif réduit valable sur une séléction des spectacles de la saison,Avantage tarifaire,Tarif réduit,37 bis Boulevard de la Chapelle,Paris,48.88419286087166,2.358905435735804,#FF0000
Théâtre Les Bords De Scènes,Théâtre | Musique | Danse,Tarif réduit ou très réduit pour les 18-25 ans  sur une sélection de spectacles,Avantage tarifaire,Tarif réduit,Place du Maréchal Leclerc,Juvisy-sur-Orge,48.69075802371344,2.376542076522815,#FF0000
Théâtre Jean Arp De Clamart,Théâtre | Musique | Danse,Tarif réduit 12 €,Avantage tarifaire,Tarif réduit,22 Rue Paul Vaillant Couturier,Clamart,48.80261394234931,2.2639340220311697,#FF0000
Théâtre du Châtelet,Théâtre | Musique | Danse,Tarif réduit sur une sélection de spectacles et catégories de places dans la limite du quota dispo,Avantage tarifaire,Tarif réduit,1 Place du Châtelet,Paris,48.85773014911509,2.346311706587581,#FF0000
Cinéma Arcel,Cinéma,Offre ponctuelle et tarif reduit sur les salles adhérentes,Avantage tarifaire,Tarif réduit,15 Place Léon Casse,Corbeil-Essonnes,48.6039224336556,2.4690267424011303,#FF0000
Scène Nationale De L’Essonne - Théâtre de l'Agora,Théâtre | Musique | Danse,"Tarif réduit à 10€ pour les abonnés Navigo, même réduction pour l'accompagnant de l'abonné Navigo, si ce dernier bénéficie déjà du tarif réduit par ailleurs.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",Place des Terrasses de l'Agora,Évry,48.628780846483295,2.4293080994818546,#FF0000
